,Unnamed: 0,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
319,320,671980400.0,770183000.0,18000000,"['Harrison Ford', 'Alfred Molina*']",Steven Spielberg,,,John Williams,Indiana Jones,Raiders of the Lost Ark,212222025.0,248159971.0,1981-06-12 00:00:00,115.0,PG,Period
320,321,429923500.0,,48000000,"['Sean Connery', 'Harrison Ford']",Steven Spielberg,George Lucas (story),,John Williams,Indiana Jones,Indiana Jones and the Last Crusade,197171806.0,,1989-05-24 00:00:00,127.0,PG-13,Period
322,323,91346300.0,,5000000,"['Rose Byrne', 'Patrick Wilson']",James Wan,Leigh Whannell,,Joseph Bishara,Insidious,Insidious Chapter 2,83586447.0,,2013-09-13 00:00:00,105.0,PG-13,Horror
323,324,58304900.0,,1500000,"['Patrick Wilson', 'Rose Byrne', 'Barbara Hershey']",James Wan,Leigh Whannell,,Joseph Bishara,Insidious,Insidious,54009150.0,,2011-04-01 00:00:00,98.0,PG-13,Horror
324,325,55066800.0,,10000000,,Leigh Whannell,Leigh Whannell,,Joseph Bishara,Insidious,Insidious Chapter 3,52218558.0,,2015-06-05 00:00:00,97.0,PG-13,Horror
325,326,2679400.0,,,"['Mike Tyson', 'Donnie Yen']",,,,,Ip Man Franchise,Ip Man 3,2679437.0,,2016-01-22 00:00:00,105.0,PG-13,Action
326,327,227700.0,,,,,,,,Ip Man Franchise,Ip Man 2: Legend of the Grandmaster,205675.0,,2011-01-28 00:00:00,107.0,R,Foreign
327,328,41000.0,,,,,,,,Ip Man Franchise,Ip Man: The Final Fight,37884.0,,2013-09-20 00:00:00,102.0,PG-13,Foreign
328,329,56655200.0,,,,Sidney J. Furie,,,,Iron Eagle,Iron Eagle,24159872.0,,1986-01-17 00:00:00,117.0,PG-13,Action
329,330,22220600.0,,,,,,,,Iron Eagle,Iron Eagle II,10497324.0,,1988-11-11 00:00:00,102.0,PG,Unknown
330,331,5277900.0,,,,,,,,Iron Eagle,Aces: Iron Eagle III,2517600.0,,1992-06-12 00:00:00,98.0,R,Action
331,332,424632700.0,,200000000,"['Robert Downey, Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'James Badge Dale', 'Jon Favreau', 'Ben Kingsley', 'Paul Bettany* (Voice)', 'Mark Ruffalo* (Cameo)']",Shane Black,,,Brian Tyler,Iron Man,Iron Man 3,409013994.0,,2013-05-03 00:00:00,129.0,PG-13,Action
332,333,385808100.0,,140000000,"['Robert Downey, Jr.', 'Terrence Howard', 'Gwyneth Paltrow', 'Jeff Bridges', 'Clark Gregg', 'Paul Bettany* (Voice)', 'Jon Favreau*', 'Samuel L. Jackson* (Cameo)']",Jon Favreau,,,Ramin Djawadi,Iron Man,Iron Man,318412101.0,,2008-05-02 00:00:00,126.0,PG-13,Action
333,334,341908200.0,,200000000,"['Robert Downey, Jr.', 'Don Cheadle', 'Scarlett Johansson', 'Gwyneth Paltrow', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson', 'Clark Gregg', 'John Slattery', 'Garry Shandling', 'Paul Bettany* (Voice)', 'Kate Mara*', 'Jon Favreau*']",Jon Favreau,,,John Debney,Iron Man,Iron Man 2,312433331.0,,2010-05-07 00:00:00,125.0,PG-13,Action
334,335,254314200.0,,62000000,"['Harrison Ford', 'Willem Dafoe', 'Benjamin Bratt*', 'Thora Birch*', 'Clark Gregg*']",Phillip Noyce,Steven Zaillian,,James Horner,Jack Ryan,Clear and Present Danger,122187717.0,,1994-08-05 00:00:00,141.0,PG-13,Action
335,336,250948000.0,,30000000,"['Sean Connery', 'Alec Baldwin', 'Stellan Skarsgard*']",John McTiernan,,,,Jack Ryan,The Hunt for Red October,122012643.0,,1990-03-02 00:00:00,134.0,PG,Action
336,337,178053600.0,,68000000,"['Ben Affleck', 'Morgan Freeman', 'Bridget Moynahan', 'Liev Schreiber*']",,,,Jerry Goldsmith,Jack Ryan,The Sum of All Fears,118907036.0,,2002-05-31 00:00:00,118.0,PG-13,Action
337,338,174737100.0,,45000000,"['Harrison Ford', 'Anne Archer', 'Patrick Bergin', 'Sean Bean', 'Thora Birch', 'Samuel L. Jackson*']",Phillip Noyce,,,James Horner,Jack Ryan,Patriot Games,83351587.0,,1992-06-05 00:00:00,116.0,R,Action
338,339,55274300.0,,60000000,"['Chris Pine', 'Keira Knightley', 'Kevin Costner', 'Kenneth Branagh']",Kenneth Branagh,,,Patrick Doyle,Jack Ryan,Jack Ryan: Shadow Recruit,50577412.0,,2014-01-17 00:00:00,100.0,PG-13,Action
339,340,127328100.0,,20000000,,Jeff Tremaine,,,,Jackass,Jackass 3-D,117229692.0,,2010-10-15 00:00:00,94.0,R,Comedy
340,341,106328300.0,,15000000,,Jeff Tremaine,,,,Jackass,Jackass Presents: Bad Grandpa,102003019.0,,2013-10-25 00:00:00,93.0,R,Comedy
341,342,96667900.0,,11500000,,Jeff Tremaine,Spike Jonze,,,Jackass,Jackass: Number Two,72778712.0,,2006-09-22 00:00:00,95.0,R,Comedy
342,343,96200300.0,,5000000,,Jeff Tremaine,,,,Jackass,Jackass: The Movie,64255312.0,,2002-10-25 00:00:00,80.0,R,Comedy
343,344,329225400.0,,200000000,"['Daniel Craig', 'Judi Dench', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris', 'Berenice Marlohe', 'Ben Whishaw', 'Albert Finney']",Sam Mendes,,,Thomas Newman,James Bond,Skyfall,304360277.0,,2012-11-09 00:00:00,143.0,PG-13,Action
