,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
721,,,,,John Lasseter,,,,Toy Story,Toy Story 4,,,2018-06-15 00:00:00,,Not Yet Rated,Animation
724,403697900,,150000000,"['Shia LaBeouf', 'Tyrese Gibson', 'Josh Duhamel', 'Anthony Anderson', 'Megan Fox', 'Rachael Taylor', 'John Turturro', 'Jon Voight', 'Bernie Mac*']",Michael Bay,,,Steve Jablonsky,Transformers,Transformers,319246193,,2007-07-03 00:00:00,143,PG-13,Sci-Fi Action
727,,,,,Michael Bay,,,,Transformers,Transformers 5,,,2017-06-23 00:00:00,,Unknown,Sci-Fi Action
728,,,,,,,,,Transformers,Transformers 6,,,2018-06-08 00:00:00,,Unknown,Sci-Fi Action
729,,,,,,,,,Transformers,Transformers 7,,,2019-06-28 00:00:00,,Unknown,Sci-Fi Action
725,264268000,,210000000,"['Mark Wahlberg', 'Nicola Peltz', 'Jack Reynor', 'TJ Miller', 'Stanley Tucci', 'Kelsey Grammer']",Michael Bay,Ehren Kruger,,Steve Jablonsky,Transformers,Transformers: Age of Extinction,245439076,,2014-06-27 00:00:00,165,PG-13,Sci-Fi Action
723,385069700,,195000000,"['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Josh Duhamel', 'Tyrese Gibson', 'Frances McDormand', 'Patrick Dempsey', 'John Malkovich', 'Alan Tudyk', 'Ken Jeong', 'John Turturro', 'Hugo Weaving* (Voice)', 'Leonard Nimoy* (Voice)']",Michael Bay,Ehren Kruger,,Steve Jablonsky,Transformers,Transformers: Dark of the Moon,352390543,,2011-06-29 00:00:00,154,PG-13,Sci-Fi Action
722,468938100,,200000000,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'John Turturro']",Michael Bay,,,Steve Jablonsky,Transformers,Transformers: Revenge of the Fallen,402111870,,2009-06-24 00:00:00,144,PG-13,Sci-Fi Action
726,13717500,,,,,,,,Transformers,Transformers: The Movie,5849647,,1986-08-08 00:00:00,84,PG,Animation
732,37877400,,21000000,,,,Luc Besson,,Transporter,The Transporter,25296447,,2002-10-11 00:00:00,92,PG-13,Action
733,16882500,,,,Camille Delamarre,,,,Transporter,The Transporter Refueled,16029670,,2015-09-04 00:00:00,96,PG-13,Action
730,58492000,,32000000,,Louis Leterrier,,Luc Besson,Alexandre Azaria,Transporter,Transporter 2,43095856,,2005-09-02 00:00:00,88,PG-13,Action
731,38429100,,,,Olivier Megaton,Robert Mark Kamen,Luc Besson,Alexandre Azaria,Transporter,Transporter 3,31715062,,2008-11-26 00:00:00,100,PG-13,Action
737,312442600,,110000000,"['Robert Pattinson', 'Kristen Stewart', 'Taylor Lautner', 'Ashley Greene', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Nikki Reed', 'Kellan Lutz', 'Jackson Rathbone', 'Maggie Grace*', 'Anna Kendrick*', 'Michael Sheen*']",Bill Condon,Melissa Rosenberg,,Carter Burwell,Twilight,The Twilight Saga: Breaking Dawn Part 1,281287133,,2011-11-18 00:00:00,108,PG-13,Romance
736,316058000,,120000000,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Billy Burke', 'Peter Facinelli', 'Ashley Greene', 'Dakota Fanning', 'Maggie Grace', 'Michael Sheen', 'Nikki Reed', 'Kellan Lutz', 'Jackson Rathbone']",Bill Condon,Melissa Rosenberg,,Carter Burwell,Twilight,The Twilight Saga: Breaking Dawn Part 2,292324737,,2012-11-16 00:00:00,116,PG-13,Romance
734,328883800,,68000000,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Ashley Greene', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Nikki Reed', 'Kellan Lutz', 'Jackson Rathbone', 'Dakota Fanning', 'Cameron Bright*', 'Bryce Dallas Howard*', 'Catalina Sandino Moreno*', 'Anna Kendrick*', 'Sarah Clarke*', 'Xavier Samuel']",David Slade,Melissa Rosenberg,,Howard Shore,Twilight,The Twilight Saga: Eclipse,300531751,,2010-06-30 00:00:00,124,PG-13,Romance
