date,speaker,url,party,state,topic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,KING,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S202-1,I,ME,unknown
2015-01-13,KING,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S202-1,I,ME,unknown
2015-01-13,KING,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S202-1,I,ME,unknown
2015-01-13,KING,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S202-1,I,ME,unknown
2015-01-13,KING,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S202-1,I,ME,unknown
2015-01-13,KING,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S202-1,I,ME,unknown
2015-01-13,KING,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S209-1,I,ME,unknown
2015-01-13,KING,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S209-1,I,ME,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
